Subj,Antisaccade,AntisaccadeT,Stroop.control,Stroop.incongruent,Stroop,StroopPerf,StroopPerfT,x.l,x.m,x.n,x.s,SSRTshort,SSRTmed,SSRTlong,ToAvgS,ToAvgM,ToAvgL,SSRTavg,LetMem,LetMemT,LetMemHard,LetMemHardT,KeepTrack,KeepTrackT,SpatialBack,SpatialBackT,NumLet.0,NumLet.1,NumLett,NumLetPerf,ColShape.0,ColShape.1,ColShape,ColShapePerf,CatSwitch.0,CatSwitch.1,CatSwitch,CatSwitchPerf,SD1,SD2,SD3,SD4,FR1,FR2,FR3,FR4
75,0.5222222,0.5494546,932.3382,958.6421,-26.3039122,0.925,1.1810356,0.90625,0.5,0.9756944,0.0625,-494.76,-198.93,-374.35,NA,-198.93,NA,-198.93,0.72,0.8038023,0.8266667,0.9731577,0.9444444,1.2359002,0.6363636,0.689775,967.5622,1275.4833,-307.92108,0.9705882,749.0495,988.0194,-238.9699,0.9705882,1264.7454,1692.0927,-427.34734,0.9803922,0.5125,0.575,0.8875,0.825,0.625,0.6875,0.675,0.75
109,0.7555556,0.8565018,719.9755,715.799,4.1764886,0.9833333,1.3879676,0.78125,0.1875,1,0,NA,-200.92,-234.2,NA,-200.92,-234.2,-217.56,0.8,0.9272952,0.8666667,1.0484815,0.9444444,1.2359002,0.8522727,1.0203148,707.8807,913.2172,-205.33654,0.9803922,852.4832,1032.6443,-180.16109,0.9901961,798.9624,1064.564,-265.60161,1,0.7625,0.775,0.8,0.775,0.6375,0.6875,0.6625,0.575
160,0.6222222,0.6715782,760.2548,748.2304,12.0244053,0.8833333,1.0829264,0.84375,0.25,0.9861111,0.15625,-460.77,-214.37,-282.6,-460.77,-214.37,-282.6,-319.2467,0.64,0.6944983,0.7866667,0.9053911,0.9722222,1.334545,0.7840909,0.90123,688.9243,988.4225,-299.49821,0.8333333,622.0805,1188.3756,-566.29512,0.9607843,806.4939,1159.9405,-353.4466,0.9509804,0.5,0.4875,0.5,0.5,0.5625,0.5375,0.6125,0.4875
195,0.7444444,0.8397024,909.8934,949.8358,-39.9424038,0.9916667,1.4416071,0.375,0.15625,0.9965278,0.0625,-483.87,-255.77,-173.43,NA,-255.77,-173.43,-214.6,0.96,1.2870022,0.96,1.2870022,0.9722222,1.334545,0.9204545,1.1692419,898.9893,1275.1886,-376.1993,0.9705882,610.8816,928.1292,-317.24769,0.9705882,893.7015,1162.4691,-268.76762,0.9901961,0.6375,0.8125,0.7375,0.8375,0.65,0.725,0.8625,0.825
169,NA,NA,887.8573,950.4718,-62.6145034,0.8833333,1.0829264,0.875,0.90625,0.9236111,0.84375,-637.98,-269.71,-58.98,-637.98,NA,NA,-637.98,0.6666667,0.7297277,0.7866667,0.9053911,NA,NA,NA,NA,926.3644,1054.1118,-127.74737,0.9215686,1355.775,1465.0293,-109.25425,0.9411765,1220.464,1161.6837,58.78025,0.627451,0.5,0.4875,0.45,0.45,0.4625,0.525,0.625,0.6125
84,0.4888889,0.5108156,1284.6571,1195.7796,88.8774537,0.9583333,1.2811093,0.65625,0.4375,0.8888889,0.0625,-565.7,-264.98,-182.45,NA,-264.98,-182.45,-223.715,0.68,0.7477626,0.7866667,0.9053911,NA,NA,0.8522727,1.0203148,911.2793,1300.7042,-389.42496,0.9411765,911.1118,1218.0656,-306.95381,0.9509804,1274.8157,1242.47,32.34565,0.6666667,0.475,0.7875,0.8,0.8375,0.6125,0.5,0.5,0.5125
51,0.6333333,0.685853,842.5606,844.7876,-2.2270221,0.95,1.2532359,0.96875,0.90625,0.9340278,1,-1442.97,-657.92,-702.76,NA,NA,NA,NA,0.72,0.8038023,0.88,1.0758622,NA,NA,0.7045455,0.7817824,1019.6371,1327.3167,-307.67959,0.9509804,981.6976,1259.5144,-277.81682,0.8333333,1412.7676,1834.4396,-421.67197,0.7352941,0.675,0.75,0.7875,0.775,0.7125,0.675,0.6875,0.6875
168,0.6666667,0.7297277,1097.378,1073.2291,24.1488402,0.9916667,1.4416071,0.5625,0.3125,0.7951389,0.03125,-491.65,-190.1,-180.23,NA,-190.1,-180.23,-185.165,0.6933333,0.7661045,0.8,0.9272952,NA,NA,0.6363636,0.689775,987.6096,1756.8341,-769.22454,0.9901961,1448.1919,1851.7616,-403.56972,0.9803922,1324.9757,1757.8045,-432.82888,0.7941176,0.475,0.65,0.6,0.4875,0.5625,0.575,0.6125,0.5875
7,NA,NA,952.7285,962.8662,-10.1376488,0.8583333,1.0320125,0.90625,0.71875,0.8993056,0.375,-586.34,-300.38,-364.17,-586.34,-300.38,NA,-443.36,0.6133333,0.6602741,0.7866667,0.9053911,NA,NA,0.6704545,0.7348213,1060.2085,1454.1422,-393.93363,0.9509804,1032.6133,1378.7884,-346.17505,0.9117647,852.989,1273.6811,-420.69211,0.8431373,0.7,0.7875,0.8,0.7875,0.5875,0.5125,0.5,0.6125
190,NA,NA,1164.6854,1252.7061,-88.0206816,0.8166667,0.9556113,0.46875,0.5625,0.5798611,0.625,-843.1,199.1,454.13,-843.1,199.1,454.13,NA,0.8933333,1.1047087,0.92,1.1680805,NA,NA,NA,NA,1261.139,1710.9116,-449.77263,0.7745098,1704.6284,1887.4563,-182.82795,0.9313725,1388.5654,1842.6537,-454.0883,0.8529412,0.425,0.5,0.5125,0.5125,0.625,0.7375,0.875,0.8625
101,0.4444444,0.460554,1239.7483,1249.0566,-9.3083308,0.95,1.2532359,1,1,0.9756944,1,-1354.76,-745.76,-570.76,NA,NA,NA,NA,0.4,0.4115168,0.508218,0.4705015,NA,NA,0.8295455,0.9782932,1503.5225,1957.5086,-453.98607,0.5294118,1856.4271,1873.4931,-17.06607,0.9313725,1334.5243,1762.9571,-428.43286,0.8823529,0.6875,0.725,0.825,0.8125,0.5625,0.625,0.65,0.6125
58,NA,NA,1057.7188,1074.386,-16.6672142,0.9583333,1.2811093,0.59375,0.09375,0.9513889,0.03125,-483.14,-214.52,-201.01,NA,NA,-201.01,-201.01,NA,NA,NA,NA,NA,NA,0.7045455,0.7817824,NA,NA,NA,NA,NA,NA,NA,NA,1043.1343,1210.25,-167.11575,0.9509804,NA,NA,NA,NA,0.5,0.575,0.8125,0.725
100,0.8444444,1.0055271,712.6194,719.1585,-6.5391185,0.9666667,1.3118748,1,1,0.9965278,1,-665.97,-438.97,-263.97,NA,NA,NA,NA,0.5466667,0.5783782,0.7066667,0.7847759,NA,NA,0.9318182,1.1993908,649.5014,860.1427,-210.64132,0.9705882,668.6932,791.9874,-123.29413,0.9705882,778.4588,961.6613,-183.20247,0.9607843,0.775,0.875,0.85,0.825,0.6125,0.6875,0.725,0.7375
